"","plot_number","grass_1930","tree_1930","chaparral_1930","sage_1930","barren_1930","dom_veg_1930","sec_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_1930","secondary_veg_1930","grass_2009","tree_2009","chaparral_2009","sage_2009","barren_2009","dom_veg_2009","sec_veg_2009","dominant_cover_2009","secondary_cover_2009","dominant_veg_2009","secondary_veg_2009"
"41",40,2,0,48,0,0,48,2,96,4,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"42",41,14,0,36,0,0,36,14,72,28,"chaparral","grass",16,0,25,9,0,25,16,50,32,"chaparral","grass"
"43",42,21,29,0,0,0,29,21,58,42,"tree","grass",21,29,0,0,0,29,21,58,42,"tree","grass"
"44",43,17,0,1,32,0,32,17,64,34,"sage","grass",30,0,19,1,0,30,19,60,38,"grass","chaparral"
"45",44,12,0,38,0,0,38,12,76,24,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"46",45,1,0,49,0,0,49,1,98,2,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"47",46,26,0,5,19,0,26,19,52,38,"grass","sage",41,0,0,9,0,41,9,82,18,"grass","sage"
"48",47,12,7,31,0,0,31,12,62,24,"chaparral","grass",39,10,1,0,0,39,10,78,20,"grass","tree"
"49",48,24,26,0,0,0,26,24,52,48,"tree","grass",18,30,2,0,0,30,18,60,36,"tree","grass"
"50",49,4,0,46,0,0,46,4,92,8,"chaparral","grass",10,0,38,0,2,38,10,76,20,"chaparral","grass"
"51",50,2,0,48,0,0,48,2,96,4,"chaparral","grass",9,0,41,0,0,41,9,82,18,"chaparral","grass"
"52",51,20,4,26,0,0,26,20,52,40,"chaparral","grass",24,0,26,0,0,26,24,52,48,"chaparral","grass"
"53",52,2,0,48,0,0,48,2,96,4,"chaparral","grass",28,0,22,0,0,28,22,56,44,"grass","chaparral"
"54",53,30,20,0,0,0,30,20,60,40,"grass","tree",14,36,0,0,0,36,14,72,28,"tree","grass"
"55",54,3,0,47,0,0,47,3,94,6,"chaparral","grass",4,0,46,0,0,46,4,92,8,"chaparral","grass"
"56",55,26,0,2,22,0,26,22,52,44,"grass","sage",38,0,11,1,0,38,11,76,22,"grass","chaparral"
"57",56,5,0,45,0,0,45,5,90,10,"chaparral","grass",39,0,4,7,0,39,7,78,14,"grass","sage"
"58",57,2,17,31,0,0,31,17,62,34,"chaparral","tree",30,6,14,0,0,30,14,60,28,"grass","chaparral"
"59",58,1,0,49,0,0,49,1,98,2,"chaparral","grass",0,0,50,0,0,50,0,100,0,"chaparral","grass"
"60",59,26,0,0,24,0,26,24,52,48,"grass","sage",34,0,0,16,0,34,16,68,32,"grass","sage"
"61",60,6,44,0,0,0,44,6,88,12,"tree","grass",30,6,14,0,0,30,14,60,28,"grass","chaparral"
"62",61,7,0,43,0,0,43,7,86,14,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"63",62,8,33,9,0,0,33,9,66,18,"tree","chaparral",17,26,7,0,0,26,17,52,34,"tree","grass"
"64",63,9,0,41,0,0,41,9,82,18,"chaparral","grass",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"65",64,22,0,28,0,0,28,22,56,44,"chaparral","grass",33,0,17,0,0,33,17,66,34,"grass","chaparral"
"66",65,7,0,43,0,0,43,7,86,14,"chaparral","grass",28,0,0,22,0,28,22,56,44,"grass","sage"
"67",66,7,0,43,0,0,43,7,86,14,"chaparral","grass",11,0,39,0,0,39,11,78,22,"chaparral","grass"
"68",67,3,0,47,0,0,47,3,94,6,"chaparral","grass",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"69",68,2,0,48,0,0,48,2,96,4,"chaparral","grass",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"70",69,7,0,43,0,0,43,7,86,14,"chaparral","grass",1,0,49,0,0,49,1,98,2,"chaparral","grass"
"71",70,24,0,26,0,0,26,24,52,48,"chaparral","grass",25,0,9,16,0,25,16,50,32,"grass","sage"
"72",71,3,0,47,0,0,47,3,94,6,"chaparral","grass",0,0,50,0,0,50,0,100,0,"chaparral","grass"
"73",72,43,7,0,0,0,43,7,86,14,"grass","tree",37,13,0,0,0,37,13,74,26,"grass","tree"
"74",73,7,0,32,0,11,32,11,64,22,"chaparral","barren",17,0,24,0,9,24,17,48,34,"chaparral","grass"
"75",74,2,0,48,0,0,48,2,96,4,"chaparral","grass",3,0,47,0,0,47,3,94,6,"chaparral","grass"
"76",75,13,37,0,0,0,37,13,74,26,"tree","grass",16,34,0,0,0,34,16,68,32,"tree","grass"
"77",76,0,0,5,0,45,45,5,90,10,"barren","chaparral",0,0,14,0,36,36,14,72,28,"barren","chaparral"
"78",77,1,0,49,0,0,49,1,98,2,"chaparral","grass",8,0,42,0,0,42,8,84,16,"chaparral","grass"
"79",78,9,0,41,0,0,41,9,82,18,"chaparral","grass",22,0,28,0,0,28,22,56,44,"chaparral","grass"
"80",79,23,0,27,0,0,27,23,54,46,"chaparral","grass",38,0,12,0,0,38,12,76,24,"grass","chaparral"
"81",80,32,18,0,0,0,32,18,64,36,"grass","tree",37,0,6,7,0,37,7,74,14,"grass","sage"
"82",81,3,0,45,0,2,45,3,90,6,"chaparral","grass",1,0,45,0,4,45,4,90,8,"chaparral","barren"
"83",82,11,9,0,30,0,30,11,60,22,"sage","grass",35,9,0,6,0,35,9,70,18,"grass","tree"
"84",83,18,0,32,0,0,32,18,64,36,"chaparral","grass",31,0,10,9,0,31,10,62,20,"grass","chaparral"
"85",84,6,0,44,0,0,44,6,88,12,"chaparral","grass",3,0,47,0,0,47,3,94,6,"chaparral","grass"
"86",85,17,0,19,14,0,19,17,38,34,"chaparral","grass",31,0,19,0,0,31,19,62,38,"grass","chaparral"
"87",86,8,0,42,0,0,42,8,84,16,"chaparral","grass",21,0,29,0,0,29,21,58,42,"chaparral","grass"
"88",87,9,0,41,0,0,41,9,82,18,"chaparral","grass",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"89",88,12,0,38,0,0,38,12,76,24,"chaparral","grass",0,0,50,0,0,50,0,100,0,"chaparral","grass"
"90",89,0,0,50,0,0,50,0,100,0,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"91",90,11,0,39,0,0,39,11,78,22,"chaparral","grass",31,0,2,17,0,31,17,62,34,"grass","sage"
"92",91,13,28,9,0,0,28,13,56,26,"tree","grass",22,1,25,2,0,25,22,50,44,"chaparral","grass"
"93",92,20,0,30,0,0,30,20,60,40,"chaparral","grass",27,0,17,6,0,27,17,54,34,"grass","chaparral"
"94",93,8,0,0,42,0,42,8,84,16,"sage","grass",31,11,0,8,0,31,11,62,22,"grass","tree"
"95",94,6,0,41,0,3,41,6,82,12,"chaparral","grass",13,0,31,0,6,31,13,62,26,"chaparral","grass"
"96",95,10,0,40,0,0,40,10,80,20,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"97",96,2,0,48,0,0,48,2,96,4,"chaparral","grass",1,0,49,0,0,49,1,98,2,"chaparral","grass"
"98",97,5,0,40,0,5,40,5,80,10,"chaparral","grass",1,0,48,0,1,48,1,96,2,"chaparral","grass"
"99",98,27,0,0,23,0,27,23,54,46,"grass","sage",31,0,0,19,0,31,19,62,38,"grass","sage"
"100",99,6,0,44,0,0,44,6,88,12,"chaparral","grass",4,0,46,0,0,46,4,92,8,"chaparral","grass"
"101",100,14,0,36,0,0,36,14,72,28,"chaparral","grass",27,0,23,0,0,27,23,54,46,"grass","chaparral"
"102",101,19,0,9,22,0,22,19,44,38,"sage","grass",27,0,9,14,0,27,14,54,28,"grass","sage"
"103",102,6,0,44,0,0,44,6,88,12,"chaparral","grass",24,0,26,0,0,26,24,52,48,"chaparral","grass"
"104",103,29,21,0,0,0,29,21,58,42,"grass","tree",44,6,0,0,0,44,6,88,12,"grass","tree"
"105",104,10,0,0,40,0,40,10,80,20,"sage","grass",44,0,0,6,0,44,6,88,12,"grass","sage"
"106",105,14,0,36,0,0,36,14,72,28,"chaparral","grass",27,0,23,0,0,27,23,54,46,"grass","chaparral"
"107",106,3,31,16,0,0,31,16,62,32,"tree","chaparral",9,38,3,0,0,38,9,76,18,"tree","grass"
"108",107,3,0,47,0,0,47,3,94,6,"chaparral","grass",1,0,49,0,0,49,1,98,2,"chaparral","grass"
"109",108,0,0,50,0,0,50,0,100,0,"chaparral","grass",2,0,48,0,0,48,2,96,4,"chaparral","grass"
"110",109,8,0,42,0,0,42,8,84,16,"chaparral","grass",22,0,28,0,0,28,22,56,44,"chaparral","grass"
"111",110,1,0,49,0,0,49,1,98,2,"chaparral","grass",23,0,27,0,0,27,23,54,46,"chaparral","grass"
"112",111,23,0,27,0,0,27,23,54,46,"chaparral","grass",4,0,46,0,0,46,4,92,8,"chaparral","grass"
"113",112,0,0,34,0,16,34,16,68,32,"chaparral","barren",22,0,15,0,13,22,15,44,30,"grass","chaparral"
"114",113,19,0,31,0,0,31,19,62,38,"chaparral","grass",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"115",114,5,0,45,0,0,45,5,90,10,"chaparral","grass",35,0,15,0,0,35,15,70,30,"grass","chaparral"
"116",115,11,39,0,0,0,39,11,78,22,"tree","grass",15,35,0,0,0,35,15,70,30,"tree","grass"
"117",116,25,25,0,0,0,25,25,50,50,"mixed","mixed",26,12,0,12,0,26,12,52,24,"grass","tree"
"118",117,36,0,6,8,0,36,8,72,16,"grass","sage",39,0,2,9,0,39,9,78,18,"grass","sage"
"119",118,19,0,31,0,0,31,19,62,38,"chaparral","grass",2,0,48,0,0,48,2,96,4,"chaparral","grass"
"120",119,4,0,46,0,0,46,4,92,8,"chaparral","grass",21,0,12,17,0,21,17,42,34,"grass","sage"
"121",120,24,0,10,16,0,24,16,48,32,"grass","sage",28,0,0,22,0,28,22,56,44,"grass","sage"
"122",121,21,0,29,0,0,29,21,58,42,"chaparral","grass",41,0,9,0,0,41,9,82,18,"grass","chaparral"
"123",122,15,35,0,0,0,35,15,70,30,"tree","grass",4,46,0,0,0,46,4,92,8,"tree","grass"
"124",123,17,26,7,0,0,26,17,52,34,"tree","grass",25,0,25,0,0,25,25,50,50,"mixed","mixed"
"125",124,30,0,9,11,0,30,11,60,22,"grass","sage",39,0,0,11,0,39,11,78,22,"grass","sage"
"126",125,1,0,49,0,0,49,1,98,2,"chaparral","grass",2,0,48,0,0,48,2,96,4,"chaparral","grass"
"127",126,16,34,0,0,0,34,16,68,32,"tree","grass",10,40,0,0,0,40,10,80,20,"tree","grass"
"128",127,11,0,37,0,2,37,11,74,22,"chaparral","grass",41,0,2,7,0,41,7,82,14,"grass","sage"
"129",128,1,0,49,0,0,49,1,98,2,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"130",129,7,0,42,1,0,42,7,84,14,"chaparral","grass",13,0,35,2,0,35,13,70,26,"chaparral","grass"
"131",130,9,0,41,0,0,41,9,82,18,"chaparral","grass",39,0,3,8,0,39,8,78,16,"grass","sage"
"132",131,7,0,23,20,0,23,20,46,40,"chaparral","sage",11,0,35,4,0,35,11,70,22,"chaparral","grass"
"133",132,23,0,0,27,0,27,23,54,46,"sage","grass",36,0,0,14,0,36,14,72,28,"grass","sage"
"134",133,9,0,41,0,0,41,9,82,18,"chaparral","grass",39,0,4,7,0,39,7,78,14,"grass","sage"
"135",134,7,43,0,0,0,43,7,86,14,"tree","grass",24,26,0,0,0,26,24,52,48,"tree","grass"
"136",135,29,0,21,0,0,29,21,58,42,"grass","chaparral",33,0,17,0,0,33,17,66,34,"grass","chaparral"
"137",136,8,0,42,0,0,42,8,84,16,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"138",137,7,0,6,37,0,37,7,74,14,"sage","grass",37,0,0,13,0,37,13,74,26,"grass","sage"
"139",138,13,25,12,0,0,25,13,50,26,"tree","grass",8,16,26,0,0,26,16,52,32,"chaparral","tree"
"140",139,7,0,43,0,0,43,7,86,14,"chaparral","grass",5,0,45,0,0,45,5,90,10,"chaparral","grass"
"141",140,18,0,32,0,0,32,18,64,36,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"142",141,8,42,0,0,0,42,8,84,16,"tree","grass",17,33,0,0,0,33,17,66,34,"tree","grass"
"143",142,19,0,3,28,0,28,19,56,38,"sage","grass",30,0,6,14,0,30,14,60,28,"grass","sage"
"144",143,10,0,40,0,0,40,10,80,20,"chaparral","grass",8,0,42,0,0,42,8,84,16,"chaparral","grass"
"145",144,1,0,49,0,0,49,1,98,2,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"146",145,11,0,30,0,9,30,11,60,22,"chaparral","grass",19,0,12,0,19,19,19,38,38,"mixed","mixed"
"147",146,3,0,47,0,0,47,3,94,6,"chaparral","grass",34,0,16,0,0,34,16,68,32,"grass","chaparral"
"148",147,26,0,0,24,0,26,24,52,48,"grass","sage",44,0,6,0,0,44,6,88,12,"grass","chaparral"
"149",148,12,0,38,0,0,38,12,76,24,"chaparral","grass",21,0,16,13,0,21,16,42,32,"grass","chaparral"
"150",149,4,0,21,25,0,25,21,50,42,"sage","chaparral",22,0,24,4,0,24,22,48,44,"chaparral","grass"
"151",150,19,0,31,0,0,31,19,62,38,"chaparral","grass",35,0,14,1,0,35,14,70,28,"grass","chaparral"
"152",151,20,0,0,30,0,30,20,60,40,"sage","grass",38,0,0,12,0,38,12,76,24,"grass","sage"
"153",152,3,0,47,0,0,47,3,94,6,"chaparral","grass",42,0,8,0,0,42,8,84,16,"grass","chaparral"
"154",153,0,50,0,0,0,50,0,100,0,"tree","grass",8,42,0,0,0,42,8,84,16,"tree","grass"
"155",154,9,0,41,0,0,41,9,82,18,"chaparral","grass",37,0,2,11,0,37,11,74,22,"grass","sage"
"156",155,4,0,46,0,0,46,4,92,8,"chaparral","grass",2,0,48,0,0,48,2,96,4,"chaparral","grass"
"157",156,18,0,2,30,0,30,18,60,36,"sage","grass",10,0,15,25,0,25,15,50,30,"sage","chaparral"
"158",157,3,0,47,0,0,47,3,94,6,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"159",158,4,0,46,0,0,46,4,92,8,"chaparral","grass",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"160",159,7,0,43,0,0,43,7,86,14,"chaparral","grass",35,0,3,12,0,35,12,70,24,"grass","sage"
"161",160,3,0,45,2,0,45,3,90,6,"chaparral","grass",9,0,41,0,0,41,9,82,18,"chaparral","grass"
"162",161,21,29,0,0,0,29,21,58,42,"tree","grass",8,42,0,0,0,42,8,84,16,"tree","grass"
"163",162,7,5,6,32,0,32,7,64,14,"sage","grass",9,6,35,0,0,35,9,70,18,"chaparral","grass"
"164",163,11,0,26,13,0,26,13,52,26,"chaparral","sage",14,0,36,0,0,36,14,72,28,"chaparral","grass"
"165",164,18,0,32,0,0,32,18,64,36,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"166",165,11,10,29,0,0,29,11,58,22,"chaparral","grass",32,0,18,0,0,32,18,64,36,"grass","chaparral"
"167",166,12,0,38,0,0,38,12,76,24,"chaparral","grass",30,0,5,15,0,30,15,60,30,"grass","sage"
"168",167,5,0,45,0,0,45,5,90,10,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"169",168,8,42,0,0,0,42,8,84,16,"tree","grass",10,40,0,0,0,40,10,80,20,"tree","grass"
"170",169,34,0,0,16,0,34,16,68,32,"grass","sage",47,0,0,3,0,47,3,94,6,"grass","sage"
"171",170,4,0,46,0,0,46,4,92,8,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"172",171,13,0,37,0,0,37,13,74,26,"chaparral","grass",25,0,25,0,0,25,25,50,50,"mixed","mixed"
"173",172,16,34,0,0,0,34,16,68,32,"tree","grass",15,35,0,0,0,35,15,70,30,"tree","grass"
"174",173,10,0,0,40,0,40,10,80,20,"sage","grass",38,0,5,7,0,38,7,76,14,"grass","sage"
"175",174,16,0,34,0,0,34,16,68,32,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"176",175,7,0,43,0,0,43,7,86,14,"chaparral","grass",18,0,32,0,0,32,18,64,36,"chaparral","grass"
"177",176,23,6,21,0,0,23,21,46,42,"grass","chaparral",18,0,10,22,0,22,18,44,36,"sage","grass"
"178",177,1,0,49,0,0,49,1,98,2,"chaparral","grass",36,0,0,14,0,36,14,72,28,"grass","sage"
"179",178,25,0,0,25,0,25,25,50,50,"mixed","mixed",35,0,0,15,0,35,15,70,30,"grass","sage"
"180",179,0,0,19,0,31,31,19,62,38,"barren","chaparral",16,0,24,0,10,24,16,48,32,"chaparral","grass"
"181",180,11,0,33,0,6,33,11,66,22,"chaparral","grass",21,0,26,0,3,26,21,52,42,"chaparral","grass"
"182",181,18,32,0,0,0,32,18,64,36,"tree","grass",20,30,0,0,0,30,20,60,40,"tree","grass"
"183",182,29,0,21,0,0,29,21,58,42,"grass","chaparral",40,0,7,3,0,40,7,80,14,"grass","chaparral"
"184",183,6,0,44,0,0,44,6,88,12,"chaparral","grass",1,0,49,0,0,49,1,98,2,"chaparral","grass"
"185",184,9,0,41,0,0,41,9,82,18,"chaparral","grass",11,0,39,0,0,39,11,78,22,"chaparral","grass"
"186",185,22,0,28,0,0,28,22,56,44,"chaparral","grass",11,0,39,0,0,39,11,78,22,"chaparral","grass"
"187",186,21,0,29,0,0,29,21,58,42,"chaparral","grass",30,0,2,18,0,30,18,60,36,"grass","sage"
"188",187,1,0,49,0,0,49,1,98,2,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"189",188,19,0,0,31,0,31,19,62,38,"sage","grass",30,0,9,11,0,30,11,60,22,"grass","sage"
"190",189,28,22,0,0,0,28,22,56,44,"grass","tree",42,0,7,1,0,42,7,84,14,"grass","chaparral"
"191",190,30,0,20,0,0,30,20,60,40,"grass","chaparral",38,0,4,8,0,38,8,76,16,"grass","sage"
"192",191,6,0,44,0,0,44,6,88,12,"chaparral","grass",6,0,44,0,0,44,6,88,12,"chaparral","grass"
"193",192,5,0,45,0,0,45,5,90,10,"chaparral","grass",25,0,25,0,0,25,25,50,50,"mixed","mixed"
"194",193,33,1,0,16,0,33,16,66,32,"grass","sage",34,2,0,14,0,34,14,68,28,"grass","sage"
"195",194,4,0,27,19,0,27,19,54,38,"chaparral","sage",21,0,6,23,0,23,21,46,42,"sage","grass"
"196",195,32,0,18,0,0,32,18,64,36,"grass","chaparral",24,0,14,12,0,24,14,48,28,"grass","chaparral"
"197",196,22,0,26,2,0,26,22,52,44,"chaparral","grass",35,0,12,3,0,35,12,70,24,"grass","chaparral"
"198",197,18,0,32,0,0,32,18,64,36,"chaparral","grass",3,0,47,0,0,47,3,94,6,"chaparral","grass"
"199",198,13,0,37,0,0,37,13,74,26,"chaparral","grass",43,0,0,7,0,43,7,86,14,"grass","sage"
"200",199,23,0,27,0,0,27,23,54,46,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"201",200,5,0,24,0,21,24,21,48,42,"chaparral","barren",11,0,29,0,10,29,11,58,22,"chaparral","grass"
"202",201,5,0,45,0,0,45,5,90,10,"chaparral","grass",8,0,42,0,0,42,8,84,16,"chaparral","grass"
"203",202,0,15,9,26,0,26,15,52,30,"sage","tree",17,3,26,4,0,26,17,52,34,"chaparral","grass"
"204",203,25,0,25,0,0,25,25,50,50,"mixed","mixed",34,0,0,16,0,34,16,68,32,"grass","sage"
"205",204,7,43,0,0,0,43,7,86,14,"tree","grass",2,48,0,0,0,48,2,96,4,"tree","grass"
"206",205,34,0,1,15,0,34,15,68,30,"grass","sage",45,0,0,5,0,45,5,90,10,"grass","sage"
"207",206,33,0,0,17,0,33,17,66,34,"grass","sage",42,0,1,7,0,42,7,84,14,"grass","sage"
"208",207,20,0,27,3,0,27,20,54,40,"chaparral","grass",21,0,23,6,0,23,21,46,42,"chaparral","grass"
"209",208,7,0,43,0,0,43,7,86,14,"chaparral","grass",27,0,21,2,0,27,21,54,42,"grass","chaparral"
"210",209,27,0,0,23,0,27,23,54,46,"grass","sage",27,0,15,8,0,27,15,54,30,"grass","chaparral"
"211",210,3,0,47,0,0,47,3,94,6,"chaparral","grass",23,0,26,1,0,26,23,52,46,"chaparral","grass"
"212",211,8,0,42,0,0,42,8,84,16,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"213",212,14,0,36,0,0,36,14,72,28,"chaparral","grass",33,0,17,0,0,33,17,66,34,"grass","chaparral"
"214",213,4,0,46,0,0,46,4,92,8,"chaparral","grass",24,0,26,0,0,26,24,52,48,"chaparral","grass"
"215",214,10,0,40,0,0,40,10,80,20,"chaparral","grass",39,0,3,8,0,39,8,78,16,"grass","sage"
"216",215,6,0,44,0,0,44,6,88,12,"chaparral","grass",0,0,50,0,0,50,0,100,0,"chaparral","grass"
"217",216,12,14,0,24,0,24,14,48,28,"sage","tree",29,8,0,13,0,29,13,58,26,"grass","sage"
"218",217,5,0,22,0,23,23,22,46,44,"barren","chaparral",20,0,21,0,9,21,20,42,40,"chaparral","grass"
"219",218,1,0,49,0,0,49,1,98,2,"chaparral","grass",4,0,46,0,0,46,4,92,8,"chaparral","grass"
"220",219,5,0,21,24,0,24,21,48,42,"sage","chaparral",41,0,1,8,0,41,8,82,16,"grass","sage"
"221",220,7,0,30,13,0,30,13,60,26,"chaparral","sage",30,0,16,4,0,30,16,60,32,"grass","chaparral"
"222",221,13,0,26,11,0,26,13,52,26,"chaparral","grass",36,0,8,6,0,36,8,72,16,"grass","chaparral"
"223",222,14,0,24,12,0,24,14,48,28,"chaparral","grass",28,0,21,1,0,28,21,56,42,"grass","chaparral"
"224",223,3,0,47,0,0,47,3,94,6,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"225",224,22,0,23,5,0,23,22,46,44,"chaparral","grass",5,0,45,0,0,45,5,90,10,"chaparral","grass"
"226",225,3,0,28,19,0,28,19,56,38,"chaparral","sage",18,0,29,3,0,29,18,58,36,"chaparral","grass"
"227",226,10,0,0,40,0,40,10,80,20,"sage","grass",46,0,0,4,0,46,4,92,8,"grass","sage"
"228",227,7,0,30,0,13,30,13,60,26,"chaparral","barren",5,0,36,0,9,36,9,72,18,"chaparral","barren"
"229",228,8,0,42,0,0,42,8,84,16,"chaparral","grass",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"230",229,31,0,0,19,0,31,19,62,38,"grass","sage",25,0,4,21,0,25,21,50,42,"grass","sage"
"231",230,18,0,17,15,0,18,17,36,34,"grass","chaparral",34,0,3,13,0,34,13,68,26,"grass","sage"
"232",231,2,0,8,40,0,40,8,80,16,"sage","chaparral",36,0,8,6,0,36,8,72,16,"grass","chaparral"
